,cluster,rango,termino,score
0,0.0,0.0,comisión,0.175791248532
1,0.0,1.0,artículo,0.137336912916
2,0.0,2.0,secretario,0.131843436399
3,0.0,3.0,josé,0.104376053816
4,0.0,4.0,gobierno,0.0906423625245
5,0.0,5.0,legislatura,0.0906423625245
6,0.0,6.0,licenciado,0.0906423625245
7,0.0,7.0,república,0.0851488860078
8,0.0,8.0,permiso,0.081188196342
9,0.0,9.0,fojas,0.0807007412772
10,0.0,10.0,sesión,0.0796554094912
11,0.0,11.0,usted,0.0796554094912
12,0.0,12.0,general,0.0769086712329
13,0.0,13.0,diputado,0.0741619329746
14,0.0,14.0,nacional,0.0741619329746
15,0.0,15.0,luis,0.0714151947162
16,0.0,16.0,secretaría,0.0714151947162
17,0.0,17.0,distrito,0.0686684564579
18,0.0,18.0,decreto,0.0659217181996
19,0.0,19.0,diputados,0.0659217181996
20,0.0,20.0,fracción,0.0659217181996
21,0.0,21.0,fojas útiles,0.0634077252893
22,0.0,22.0,congreso,0.0631749799413
23,0.0,23.0,consideración,0.0631749799413
24,0.0,24.0,ley,0.0631749799413
25,0.0,25.0,servicios,0.0617030292199
26,0.0,26.0,año,0.060428241683
27,0.0,27.0,federal,0.060428241683
28,0.0,28.0,lectura,0.0576815034247
29,0.0,29.0,primer,0.0576815034247
30,1.0,0.0,electoral,0.320286767333
31,1.0,1.0,distrito,0.266305851491
32,1.0,2.0,distrito electoral,0.17019413455
33,1.0,3.0,candidatos,0.158422568136
34,1.0,4.0,diputados,0.158344019805
35,1.0,5.0,julio,0.147547836637
36,1.0,6.0,comisión,0.133152925745
37,1.0,7.0,federal,0.107961831685
38,1.0,8.0,diputados federales,0.106215611209
39,1.0,9.0,partido,0.0971656485169
40,1.0,10.0,licenciado,0.0899681930712
41,1.0,11.0,federales,0.0863694653483
42,1.0,12.0,josé,0.0863694653483
43,1.0,13.0,sección,0.0863694653483
44,1.0,14.0,electorales,0.0853044597656
45,1.0,15.0,congreso,0.0827707376255
46,1.0,16.0,día,0.0755732821798
47,1.0,17.0,partidos,0.0723325071838
48,1.0,18.0,elecciones,0.071974554457
49,1.0,19.0,siguientes,0.071974554457
50,1.0,20.0,comité,0.0657525212246
51,1.0,21.0,cómputo,0.0657525212246
52,1.0,22.0,distrital,0.0657525212246
53,1.0,23.0,legislatura,0.0647770990113
54,1.0,24.0,expediente,0.0611783712884
55,1.0,25.0,ley,0.0611783712884
56,1.0,26.0,mayoría,0.0611783712884
57,1.0,27.0,día julio,0.0609317569754
58,1.0,28.0,constancia,0.0606946349765
59,1.0,29.0,electoral federal,0.0595679470926
60,2.0,0.0,distrito,0.156398290426
61,2.0,1.0,electoral,0.156398290426
62,2.0,2.0,diputados,0.151798340707
63,2.0,3.0,partido,0.140298466411
64,2.0,4.0,comisión,0.131098566975
65,2.0,5.0,artículo,0.128798592115
66,2.0,6.0,nacional,0.124198642397
67,2.0,7.0,méxico,0.0942989692273
68,2.0,8.0,federal,0.0850990697905
69,2.0,9.0,ley,0.0827990949313
70,2.0,10.0,candidato,0.0817781149126
71,2.0,11.0,vida,0.0808133603534
72,2.0,12.0,diputado,0.0781991452129
73,2.0,13.0,cartón,0.0739897230161
74,2.0,14.0,secretario,0.0735991954945
75,2.0,15.0,candidatos,0.0700955270679
76,2.0,16.0,acción,0.0666992709169
77,2.0,17.0,cajas,0.0662013311197
78,2.0,18.0,popular,0.0625441266907
79,2.0,19.0,cajas cartón,0.0623071351715
80,2.0,20.0,dictamen,0.0597993463393
81,2.0,21.0,licenciado,0.0597993463393
82,2.0,22.0,señores,0.0597993463393
83,2.0,23.0,aquí,0.0584129392233
84,2.0,24.0,señor,0.0574993714801
85,2.0,25.0,acción nacional,0.0551993966209
86,2.0,26.0,presidente,0.0551993966209
87,2.0,27.0,pueblo,0.0551993966209
88,2.0,28.0,partidos,0.0543861971224
89,2.0,29.0,social,0.0516668872663
90,3.0,0.0,comisión,0.233971658713
91,3.0,1.0,artículo,0.15041035203
92,3.0,2.0,gobierno,0.116985829357
93,3.0,3.0,grado,0.108675967626
94,3.0,4.0,servicios,0.088916700785
95,3.0,5.0,decreto,0.0877393720175
96,3.0,6.0,permiso,0.0839768840747
97,3.0,7.0,república,0.0835613066833
98,3.0,8.0,secretario,0.0835613066833
99,3.0,9.0,fracción,0.075205176015
100,3.0,10.0,orden,0.075205176015
101,3.0,11.0,general,0.0710271106808
102,3.0,12.0,ley,0.0710271106808
103,3.0,13.0,infantería,0.0707407954074
104,3.0,14.0,hacienda,0.0691574339439
105,3.0,15.0,expediente,0.0668490453466
106,3.0,16.0,aceptar,0.0642176172336
107,3.0,17.0,diputados,0.0626709800125
108,3.0,18.0,federal,0.0626709800125
109,3.0,19.0,solicitud,0.0592778005233
110,3.0,20.0,acuerdo,0.0584929146783
111,3.0,21.0,nacional,0.0584929146783
112,3.0,22.0,proyecto,0.0584929146783
113,3.0,23.0,caballería,0.0565926363259
114,3.0,24.0,condecoración,0.0543379838131
115,3.0,25.0,pensión,0.0543379838131
116,3.0,26.0,diputado,0.0543148493442
117,3.0,27.0,josé,0.0543148493442
118,3.0,28.0,primera,0.0543148493442
119,3.0,29.0,someter,0.0543148493442
120,4.0,0.0,artículo,0.383048881898
121,4.0,1.0,ley,0.14651178432
122,4.0,2.0,federal,0.130624964334
123,4.0,3.0,impuesto,0.12522219826
124,4.0,4.0,ingresos,0.119084646239
125,4.0,5.0,nacional,0.109442537685
126,4.0,6.0,comisión,0.105912133244
127,4.0,7.0,capítulo,0.0956399092206
128,4.0,8.0,servicios,0.0834814655067
129,4.0,9.0,empresas,0.0806961734049
130,4.0,10.0,general,0.0688428866084
131,4.0,11.0,siguientes,0.0670776843877
132,4.0,12.0,público,0.0667851724053
133,4.0,13.0,fracción,0.0653124821669
134,4.0,14.0,secretario,0.0653124821669
135,4.0,15.0,secretaría,0.0653124821669
136,4.0,16.0,ejecutivo,0.0646981357677
137,4.0,17.0,comercio,0.0620232532497
138,4.0,18.0,iniciativa,0.0605240624923
139,4.0,19.0,presupuesto,0.0605240624923
140,4.0,20.0,pública,0.0605240624923
141,4.0,21.0,refiere,0.0605240624923
142,4.0,22.0,causantes,0.0592716011585
143,4.0,23.0,impuestos,0.056349989217
144,4.0,24.0,artículos,0.0547212688426
145,4.0,25.0,gobierno,0.0547212688426
146,4.0,26.0,hacienda,0.0521759159417
147,4.0,27.0,tarifa,0.0518626510136
148,4.0,28.0,año,0.0511908644011
149,4.0,29.0,crédito,0.050088879304
